pd_id	result_ut	valid	rejected	polled	electors	PA	UNP	Ind 2	SMBP	Ind 1	SLPF
EC-06A	757402320	155091	7412	162503	212690	94262	53949	4897	775	590	618
EC-01B	757402260	90999	2020	93019	139012	56219	33824	271	245	291	149
EC-04B	757402200	82473	1809	84282	109246	48134	33007	582	303	228	219
EC-13A	757402140	80608	1751	82359	112046	44423	34832	640	236	231	246
EC-01N	757402080	77578	1159	78737	110948	54327	22130	210	464	268	179
EC-01J	757402020	76917	1445	78362	113173	51876	23475	241	599	521	205
EC-02H	757401960	72302	958	73260	100416	51197	20094	215	403	246	147
EC-12B	757401900	71887	1061	72948	123893	59814	9812	1685	145	239	194
EC-01O	757401840	70655	988	71643	97831	45403	24493	127	280	234	118
EC-02G	757401780	70511	1065	71576	91907	51923	17437	396	374	206	175
EC-13D	757401720	70310	949	71259	97721	56780	11774	1407	114	88	147
EC-02J	757401660	69414	1064	70478	98091	46494	21935	251	311	235	188
EC-02I	757401600	69230	1141	70371	97305	44166	24260	152	266	236	150
EC-21H	757401540	68731	1252	69983	89903	44641	22425	666	465	222	312
EC-01M	757401480	68521	1328	69849	101317	47818	19514	158	638	240	153
EC-01L	757401420	68619	1102	69721	106536	45072	22369	279	444	284	171
EC-02C	757401360	68303	864	69167	92027	42916	24637	251	184	187	128
EC-09D	757401300	67168	1432	68600	106669	42523	23102	390	478	197	478
EC-02F	757401240	65785	892	66677	89192	42041	22839	252	299	233	121
EC-21B	757401180	65042	996	66038	83492	38221	25858	435	225	162	141
EC-03B	757401120	65100	929	66029	86676	40503	23655	315	263	187	177
EC-02E	757401060	63821	1446	65267	89455	40288	22585	248	270	208	222
EC-18C	757401000	63136	1716	64852	87535	36865	25284	527	169	118	173
EC-03A	757400940	63848	922	64770	89554	42951	20032	166	340	198	161
EC-05A	757400880	62906	1458	64364	85870	37869	23746	602	273	187	229
EC-01H	757400820	62498	1120	63618	90167	40296	21313	202	330	201	156
EC-02A	757400760	61720	922	62642	85516	37373	23671	180	183	214	99
EC-17E	757400700	61100	1304	62404	79687	42661	17331	547	191	112	258
EC-20C	757400640	60623	1553	62176	84310	38050	21090	600	414	174	295
EC-03F	757400580	60493	929	61422	86437	37490	22209	237	226	170	161
EC-03G	757400520	60500	660	61160	83849	36364	23487	246	115	135	153
EC-02K	757400460	59850	867	60717	80415	39151	19920	283	228	152	116
EC-02D	757400400	59637	832	60469	77104	35220	23749	235	169	149	115
EC-03C	757400340	58922	932	59854	77877	36064	21886	351	262	212	147
EC-16C	757400280	58421	936	59357	83057	35415	22240	382	133	121	130
EC-07E	757400220	58038	1059	59097	74337	34003	23216	282	157	172	208
EC-21D	757400160	57403	1277	58680	73136	32501	23943	353	257	154	195
EC-15C	757400100	57283	962	58245	76083	33582	22893	367	157	118	166
EC-02L	757400040	57040	930	57970	80600	36459	19678	201	340	235	127
EC-01K	757399980	55728	1313	57041	81213	31132	23126	290	787	230	163
EC-16E	757399920	55463	994	56457	78919	33874	21004	228	134	121	102
EC-07F	757399860	55479	952	56431	74331	33932	20785	272	174	131	185
EC-03E	757399800	55250	1045	56295	80135	33726	20667	286	202	168	201
EC-03H	757399740	55246	893	56139	78540	32467	21903	322	190	163	201
EC-02M	757399680	55215	920	56135	78191	35601	18825	151	344	187	107
EC-21F	757399620	55178	836	56014	66888	31980	22172	531	202	141	152
EC-16B	757399560	54762	1045	55807	80010	35977	17821	475	176	122	191
EC-21E	757399500	54384	1057	55441	69702	27997	25338	453	253	189	154
EC-02B	757399440	54348	761	55109	80589	31648	22131	184	133	172	80
EC-21A	757399380	53997	705	54702	71614	32647	20589	366	166	125	104
EC-09C	757399320	53405	789	54194	80917	33442	18680	319	332	170	462
EC-15I	757399260	53349	773	54122	69233	29638	22999	295	167	146	104
EC-15H	757399200	53214	651	53865	68616	33528	19095	224	152	114	101
EC-15A	757399140	52891	858	53749	69872	33011	19033	377	164	130	176
EC-22A	757399080	52683	795	53478	70142	28939	22989	329	159	133	134
EC-08G	757399020	51982	675	52657	77479	34583	16708	201	173	145	172
EC-08C	757398960	51655	903	52558	74562	32632	18165	327	175	145	211
EC-15J	757398900	51806	738	52544	69064	30516	20613	244	170	151	112
EC-07D	757398840	51600	773	52373	71765	32213	18747	224	160	124	132
EC-08A	757398780	50765	1293	52058	71106	30662	18819	465	316	213	290
EC-04L	757398720	50067	1524	51591	66812	29558	19692	350	193	169	105
EC-15D	757398660	49891	919	50810	67182	28159	20880	405	178	121	148
EC-20B	757398600	49108	1456	50564	64229	31950	15801	687	234	175	261
EC-15B	757398540	49067	834	49901	64434	30415	17932	294	145	117	164
EC-01I	757398480	48945	762	49707	71213	31646	16331	118	521	232	97
EC-06D	757398420	48078	1480	49558	63000	26020	20955	509	226	190	178
EC-08F	757398360	48872	648	49520	73461	32503	15751	152	205	138	123
EC-05D	757398300	47678	1636	49314	66238	28300	18187	618	250	169	154
EC-08B	757398240	48246	828	49074	70889	29756	17473	407	240	163	207
EC-03D	757398180	47895	772	48667	63131	27072	20094	281	172	131	145
EC-12A	757398120	47841	730	48571	73640	41821	3930	1731	99	77	183
EC-04M	757398060	47007	1509	48516	62996	26785	19423	344	176	169	110
EC-15G	757398000	47842	467	48309	61107	27377	19915	233	109	103	105
EC-07I	757397940	47360	672	48032	64320	29135	17679	111	190	117	128
EC-17D	757397880	46794	1115	47909	65367	27142	18892	365	141	113	141
EC-07G	757397820	46563	660	47223	66221	28618	17406	164	138	81	156
EC-07J	757397760	46483	656	47139	66342	29689	16115	220	172	129	158
EC-08E	757397700	46377	624	47001	66923	30817	14824	185	185	169	197
EC-09A	757397640	45909	1010	46919	73236	26535	17983	419	389	194	389
EC-08D	757397580	45984	655	46639	69050	31038	14133	305	213	128	167
EC-16A	757397520	45428	1043	46471	73757	29040	15542	531	75	122	118
EC-22E	757397460	45570	803	46373	63001	25400	19367	350	209	143	101
EC-15M	757397400	45476	831	46307	60627	28057	16635	348	177	124	135
EC-21C	757397340	44903	906	45809	56593	24076	19994	405	172	138	118
EC-16D	757397280	44994	576	45570	64449	27856	16721	180	81	86	70
EC-04C	757397220	43877	1652	45529	57482	23082	19995	349	175	167	109
EC-19A	757397160	44135	1302	45437	58235	18218	24842	446	213	213	203
EC-17C	757397100	43677	943	44620	62048	27421	15490	310	220	102	134
EC-06C	757397040	43287	1202	44489	54001	22917	19609	350	162	153	96
EC-06B	757396980	42716	1651	44367	56977	22034	19708	555	137	140	142
EC-04J	757396920	43399	934	44333	58455	25099	17621	226	220	103	130
EC-04F	757396860	43140	1081	44221	56925	24150	18243	285	238	122	102
EC-09B	757396800	43502	652	44154	66091	26335	16150	273	294	165	285
EC-12C	757396740	42999	848	43847	64365	40489	631	1611	102	59	107
EC-01A	757396680	42608	947	43555	63528	26250	15924	138	118	103	75
EC-05C	757396620	42170	1253	43423	58638	25234	16006	379	288	126	137
EC-04K	757396560	42399	945	43344	56671	24199	17442	287	215	155	101
EC-18B	757396500	42168	965	43133	55264	23977	17588	313	112	67	111
EC-15L	757396440	42278	682	42960	59146	24685	17005	188	158	151	91
EC-18A	757396380	41504	1204	42708	57393	25779	15079	279	134	64	169
EC-22H	757396320	42063	602	42665	56451	23340	18038	298	137	131	119
EC-01G	757396260	41519	887	42406	59749	28666	12275	83	273	151	71
EC-07H	757396200	41338	615	41953	62011	23587	17258	83	185	127	98
EC-22G	757396140	40952	992	41944	57328	21930	18200	409	180	123	110
EC-19H	757396080	39733	2003	41736	56426	23648	15072	464	236	152	161
EC-15K	757396020	41062	647	41709	55872	23447	17030	216	165	108	96
EC-19G	757395960	40152	1482	41634	53643	22177	17280	284	164	126	121
EC-15E	757395900	41012	610	41622	53579	25612	14862	231	118	87	102
EC-04H	757395840	40167	912	41079	55740	22323	17152	172	335	123	62
EC-05B	757395780	40011	897	40908	48525	26092	13013	507	137	119	143
EC-17A	757395720	39938	667	40605	55792	25938	13185	401	126	106	182
EC-17B	757395660	39886	581	40467	51975	26000	13287	297	80	86	136
EC-20A	757395600	39467	928	40395	50852	24271	13867	674	209	200	246
EC-22B	757395540	39669	696	40365	54044	22942	16086	307	132	98	104
EC-07B	757395480	39513	514	40027	56041	25258	13735	163	140	101	116
EC-15F	757395420	39200	515	39715	52667	23158	15482	234	114	103	109
EC-22C	757395360	38815	751	39566	54933	24126	14150	197	140	87	115
EC-17G	757395300	38704	789	39493	50969	23583	14517	324	110	75	95
EC-04G	757395240	37997	921	38918	50376	19303	18076	318	107	119	74
EC-14C	757395180	38152	495	38647	61949	25721	11209	946	74	82	120
EC-22I	757395120	37700	915	38615	52714	18793	18179	375	131	128	94
EC-13B	757395060	38082	480	38562	51991	30890	6056	918	50	89	79
EC-19F	757395000	37077	1267	38344	47127	20307	16031	335	134	129	141
EC-01D	757394940	37415	843	38258	57049	23867	12806	115	373	182	72
EC-01F	757394880	37470	614	38084	55301	23977	12783	111	326	195	78
EC-19E	757394820	35522	1861	37383	48807	20090	14430	491	212	153	146
EC-13C	757394760	36510	352	36862	50248	31511	4092	701	58	70	78
EC-19I	757394700	34531	2182	36713	48853	20108	13371	551	221	140	140
EC-22D	757394640	35720	761	36481	49996	21224	13899	259	144	84	110
EC-04D	757394580	35435	892	36327	42700	22944	11906	277	86	96	126
EC-15N	757394520	35350	699	36049	49109	20241	14374	322	142	100	171
EC-19C	757394460	34169	1873	36042	45788	19303	13793	556	176	167	174
EC-07C	757394400	35029	583	35612	53066	22470	11934	244	127	81	173
EC-21G	757394340	34923	469	35392	43279	19993	14434	234	93	87	82
EC-01C	757394280	34512	617	35129	52007	20837	13162	96	236	124	57
EC-14B	757394220	33770	545	34315	67509	28900	3925	697	112	51	85
EC-14A	757394160	33018	640	33658	54632	20621	11726	415	85	60	111
EC-04A	757394100	32625	517	33142	43462	17288	14862	201	118	95	61
EC-22F	757394040	31532	604	32136	42338	17156	13854	224	113	78	107
EC-17F	757393980	30992	581	31573	41088	19935	10541	267	86	66	97
EC-07A	757393920	29714	375	30089	43988	17307	12087	108	59	83	70
EC-19D	757393860	28243	958	29201	40039	17416	10210	255	182	104	76
EC-19B	757393800	27487	1002	28489	36342	15304	11227	456	145	183	172
EC-04E	757393740	25556	625	26181	32992	14309	10742	238	92	90	85
EC-04I	757393680	23291	583	23874	32335	12339	10477	98	258	78	41
EC-02P	757393620	23342	475	23817	23817	16177	6847	20	190	51	57
EC-01E	757393560	23332	460	23792	36915	14329	8557	68	179	180	19
EC-01P	757393500	23070	455	23525	23525	15993	6659	19	246	97	56
EC-11B	757393440	20595	444	21039	72434	16861	3026	499	68	63	78
EC-15P	757393380	20623	325	20948	20948	12412	7992	21	95	41	62
EC-04P	757393320	17684	275	17959	17959	10597	6881	21	102	38	45
EC-11A	757393260	16149	199	16348	54066	14607	981	490	24	12	35
EC-10A	757393200	15193	120	15313	49504	14761	83	291	27	14	17
EC-03P	757393140	13765	227	13992	13992	9049	4533	9	98	34	42
EC-07P	757393080	13698	253	13951	13951	9186	4320	14	82	33	63
EC-22P	757393020	12888	220	13108	13108	7826	4945	11	57	15	34
EC-17P	757392960	11706	225	11931	11931	7466	4099	23	60	18	40
EC-19P	757392900	9723	163	9886	9886	6239	3355	9	62	20	38
EC-21P	757392840	8470	97	8567	8567	5209	3171	8	44	17	21
EC-08P	757392780	8358	105	8463	8463	5874	2351	13	57	33	30
EC-13P	757392720	7071	89	7160	7160	4685	2320	11	13	18	24
EC-06P	757392660	6458	95	6553	6553	3696	2707	3	32	10	10
EC-05P	757392600	6399	73	6472	6472	3954	2372	5	44	7	17
EC-09P	757392540	6011	130	6141	6141	4038	1820	13	45	24	71
EC-16P	757392480	5567	95	5662	5662	3633	1883	0	18	19	14
EC-14P	757392420	3881	46	3927	3927	2701	1146	16	8	2	8
EC-18P	757392360	3667	81	3748	3748	2286	1336	7	13	9	16
EC-20P	757392300	3671	40	3711	3711	2349	1268	5	20	7	22
EC-12P	757392240	3052	25	3077	3077	2601	439	3	3	6	0
EC-11C	757392180	1478	27	1505	52197	1128	330	13	3	0	4
EC-10J	757392120	1272	7	1279	50045	1143	108	15	1	1	4
EC-11P	757392060	1150	11	1161	1161	989	156	1	1	2	1
EC-10B	757392000	584	4	588	58949	539	6	31	6	0	2
EC-10K	757391940	186	7	193	55995	174	9	0	1	0	2
EC-10C	757391880	127	0	127	60417	116	6	3	1	1	0
EC-10H	757391820	70	3	73	51717	63	6	1	0	0	0
EC-10P	757391760	56	0	56	56	56	0	0	0	0	0
EC-10F	757391700	26	0	26	52153	24	2	0	0	0	0
EC-10I	757391640	23	0	23	62372	21	2	0	0	0	0
EC-10D	757391580	18	0	18	58382	18	0	0	0	0	0
EC-10E	757391520	12	0	12	56496	11	1	0	0	0	0
EC-10G	757391460	8	0	8	40336	8	0	0	0	0	0
