pd_id	result_ut	valid	rejected	polled	electors	UNP	PA	JVP	Ind 2	Liberal	Ind 1	SMBP	LDA	PLSF	SLMP	Ind 3	DUNF	PFF
EC-06A	915166920	165097	4885	169982	216038	87653	70497	1897	1128	1074	672	591	489	326	322	244	102	102
EC-01B	915166860	98535	2605	101140	143993	59234	35416	1955	178	137	104	272	424	82	630	53	26	24
EC-13A	915166800	93446	1538	94984	121407	39712	48385	3275	497	496	364	206	93	172	94	79	36	37
EC-01J	915166740	91490	2530	94020	126119	32951	50535	6170	102	101	112	916	338	79	91	32	34	29
EC-01N	915166680	89623	2967	92590	121836	31302	51240	5236	105	101	134	940	346	70	71	20	32	26
EC-04B	915166620	87198	2720	89918	120150	41640	40996	2782	244	230	165	384	110	91	359	114	40	43
EC-01L	915166560	84123	2383	86506	116577	30859	46823	4878	140	102	129	662	267	69	91	32	34	37
EC-02H	915166500	83682	1780	85462	111814	26257	51606	4433	114	90	130	626	198	77	63	39	26	23
EC-13D	915166440	82916	1360	84276	110386	34407	46341	427	437	339	231	76	116	162	284	34	40	22
EC-09D	915166380	82255	1675	83930	114717	30983	39021	10865	180	229	249	202	121	130	134	61	45	35
EC-12B	915166320	81098	1750	82848	124480	48700	29523	159	550	687	269	100	406	148	394	89	32	41
EC-02J	915166260	79574	1809	81383	107701	27771	46703	3941	122	103	113	402	171	62	99	30	30	27
EC-01O	915166200	79327	2006	81333	105483	33017	41380	3692	96	72	127	431	288	70	76	20	38	20
EC-01M	915166140	77081	2876	79957	108622	27338	43584	4168	98	82	117	1119	340	68	78	31	25	33
EC-02G	915166080	77828	1933	79761	101470	21709	51204	3608	133	95	143	411	125	77	212	45	52	14
EC-02I	915166020	77852	1759	79611	104076	29726	44098	3089	82	72	112	236	224	57	82	27	21	26
EC-21H	915165960	76559	1676	78235	100436	29473	39343	5942	344	331	305	195	220	133	101	75	52	45
EC-20C	915165900	76301	1503	77804	98437	31534	37950	5279	305	307	248	176	126	148	99	49	41	39
EC-02C	915165840	76235	1545	77780	100352	27389	45607	2224	125	92	148	261	171	71	82	25	19	21
EC-18C	915165780	76249	1473	77722	98929	32472	39372	3165	257	269	189	146	65	92	125	55	26	16
EC-02F	915165720	75491	1514	77005	98927	28328	42314	3658	134	102	125	450	106	94	98	29	33	20
EC-03B	915165660	73354	1467	74821	93107	28430	40384	3262	171	139	154	384	154	90	78	37	31	40
EC-02E	915165600	72025	1619	73644	96907	28456	38075	4213	150	106	116	415	112	82	198	50	31	21
EC-05A	915165600	71768	1876	73644	97348	30850	35811	3496	323	270	214	233	91	132	169	76	46	57
EC-21B	915165480	71215	1267	72482	89518	29298	38665	1914	245	176	156	230	202	106	115	45	32	31
EC-01H	915165420	70133	1819	71952	96164	28681	36907	3385	97	93	113	468	188	42	107	23	16	13
EC-17E	915165360	69765	1503	71268	90631	23388	42154	2845	248	227	242	187	119	138	89	63	36	29
EC-03A	915165300	69073	2014	71087	91768	24976	39081	3647	90	81	96	596	242	60	144	19	25	16
EC-03C	915165240	69040	1417	70457	86680	27700	37559	2648	182	126	139	308	130	79	77	40	21	31
EC-03F	915165180	67413	1540	68953	90723	27131	35751	3369	127	111	135	386	131	77	105	38	21	31
EC-03G	915165120	67321	1145	68466	87513	29585	34369	2421	160	114	150	148	81	70	159	35	14	15
EC-02A	915165060	66512	1541	68053	88377	30566	32954	2127	83	72	74	184	279	47	60	22	27	17
EC-02K	915165000	66907	1081	67988	87240	23857	39214	2794	137	121	142	281	97	71	81	35	48	29
EC-02L	915164940	66442	1443	67885	88034	26061	36550	2825	114	78	110	369	118	54	94	24	27	18
EC-01K	915164880	65182	1495	66677	87913	26903	33957	2976	158	123	113	334	300	91	109	41	30	47
EC-02D	915164820	65147	941	66088	83077	27007	35245	2046	127	100	107	215	97	62	54	36	21	30
EC-07E	915164760	65109	873	65982	78752	25292	35712	3183	174	152	135	95	50	110	75	59	24	48
EC-15C	915164700	63499	1269	64768	86938	28525	31252	2714	206	166	149	151	70	95	65	58	24	24
EC-09C	915164640	63214	1222	64436	89147	22431	29828	9887	174	181	149	171	119	98	72	43	39	22
EC-03E	915164580	62565	1492	64057	84575	25813	32352	3221	183	162	148	316	75	83	74	71	35	32
EC-21D	915164520	62628	1232	63860	78239	28184	31231	1810	238	244	189	217	152	108	100	68	43	44
EC-16C	915164460	61383	1309	62692	87891	26708	31998	1813	187	100	137	116	90	58	90	37	21	28
EC-03H	915164400	60813	1226	62039	82145	26506	30128	3014	208	163	176	227	78	76	86	83	34	34
EC-07F	915164340	60496	1145	61641	76860	22969	34097	2406	191	148	136	167	91	91	82	56	22	40
EC-21E	915164280	59209	1055	60264	75436	28059	28305	1552	257	253	188	165	97	105	101	71	24	32
EC-21F	915164220	59153	941	60094	70432	24516	32193	1186	251	202	206	145	123	83	100	84	31	33
EC-02B	915164160	58822	1181	60003	83508	28156	28515	1360	92	74	111	106	156	55	126	36	20	15
EC-21A	915164100	58429	1236	59665	76327	23868	31228	1502	180	155	121	136	949	62	115	60	26	27
EC-15A	915164040	58570	1068	59638	79147	23395	31610	2645	186	176	166	111	55	85	75	43	6	17
EC-15I	915163980	58100	977	59077	77629	27228	28350	1662	136	113	106	180	60	50	120	44	23	28
EC-15H	915163920	58275	718	58993	75795	23680	31996	1824	124	93	116	184	48	57	77	37	21	18
EC-15J	915163860	57867	1082	58949	75865	24457	30403	2158	128	111	110	214	58	66	72	45	19	26
EC-02M	915163800	57190	1582	58772	77425	22215	30947	2940	76	52	108	512	124	59	103	19	19	16
EC-16E	915163740	56881	1076	57957	83686	24449	30149	1583	108	80	89	166	100	48	48	27	17	17
EC-07D	915163680	56795	991	57786	75271	21196	31626	3128	115	119	125	169	82	76	69	44	22	24
EC-08C	915163620	56680	1090	57770	76916	21330	30040	4231	154	182	145	195	72	100	99	58	34	40
EC-16B	915163560	56416	1199	57615	83322	22733	30542	2216	176	195	154	131	49	87	58	38	22	15
EC-22A	915163500	56533	1065	57598	74291	25324	28307	2005	125	122	129	189	51	61	110	66	23	21
EC-04L	915163440	55893	1626	57519	73137	23928	29986	828	141	161	159	244	94	90	163	51	26	22
EC-08A	915163380	55055	1464	56519	74409	21400	29229	3108	251	223	157	207	95	111	116	75	38	45
EC-20B	915163320	54835	1489	56324	73336	21049	30055	2465	264	256	226	155	62	101	58	53	57	34
EC-08G	915163260	54674	1027	55701	78320	19183	30939	3674	123	87	114	219	67	71	116	35	20	26
EC-09A	915163200	53664	1389	55053	78596	21426	24728	6298	227	198	180	187	125	108	68	47	38	34
EC-01A	915163140	53167	1409	54576	77447	32714	18114	1281	95	94	86	115	408	46	163	26	14	11
EC-07I	915163080	53461	1070	54531	69229	19749	30327	2602	129	81	91	150	124	62	69	41	20	16
EC-08B	915163020	53161	983	54144	75156	19464	29115	3471	199	170	192	194	54	92	85	57	36	32
EC-05D	915162960	52283	1627	53910	71025	22336	26959	1574	255	235	232	264	75	78	142	78	28	27
EC-15D	915162900	52129	1535	53664	74632	24589	24366	2101	156	165	136	240	70	70	104	60	44	28
EC-15B	915162840	52383	1191	53574	72758	23694	26123	1789	125	124	125	135	53	62	75	35	24	19
EC-08F	915162780	51743	1790	53533	72593	18743	28865	3273	86	72	72	276	156	54	94	19	15	18
EC-15G	915162720	52701	789	53490	68736	23876	27022	1143	112	85	96	129	55	53	64	35	13	18
EC-04C	915162660	52091	1338	53429	63055	17372	32945	928	134	119	125	168	55	56	122	35	12	20
