pd_id	result_ut	valid	rejected	polled	electors	NDF	UPFA	DUNF	UDF	JSP	SLLP	Ind 5	Ind 1	NSH	ONF	USP	Ind 3	LF	SEP	NA	Ind 2	RPP	JP	Ind 4	PNF	ACAKO	UNAF
EC-06A	1262324220	184128	3693	187821	247069	112866	62604	2693	1158	747	529	447	340	441	404	320	279	204	219	199	113	108	99	114	109	73	62
EC-01J	1262324160	122276	850	123126	158736	45082	76103	127	105	179	124	20	132	45	40	45	75	47	26	8	41	13	17	18	11	7	11
EC-01L	1262324100	121279	770	122049	155720	39414	80799	143	84	217	115	23	131	39	42	37	52	52	24	10	33	11	18	13	7	8	7
EC-01N	1262324040	119006	803	119809	148696	40474	77474	106	83	189	134	16	134	53	50	33	70	47	34	7	33	13	19	10	11	9	7
EC-09D	1262323980	110834	748	111582	143622	37426	71581	334	145	339	149	47	220	60	83	66	94	37	20	37	62	24	42	28	20	12	8
EC-04B	1262323920	109714	1161	110875	147475	51406	56508	277	240	249	107	34	148	124	91	84	112	59	47	33	63	27	14	29	22	22	18
EC-13A	1262323860	108026	608	108634	145479	32895	73389	256	80	291	137	40	367	74	108	65	93	21	26	32	44	20	23	22	19	13	11
EC-02H	1262323800	104927	682	105609	133606	32262	71811	122	78	129	65	11	114	40	35	35	55	40	15	8	43	21	6	18	9	4	6
EC-02J	1262323740	104905	629	105534	134581	34807	69085	136	98	216	76	17	123	28	36	36	49	40	24	11	42	8	23	15	12	17	6
EC-12B	1262323680	101800	1885	103685	155537	69975	28090	927	679	239	179	254	188	253	231	107	81	153	74	72	39	53	39	61	32	38	36
EC-02C	1262323620	99197	767	99964	127421	38605	59558	150	105	117	72	37	142	46	48	40	82	54	25	16	34	8	14	12	13	9	10
EC-21H	1262323560	97932	708	98640	127375	31029	65255	248	116	256	169	26	280	69	77	67	73	52	27	20	43	14	31	30	19	14	17
EC-18C	1262323500	97768	710	98478	130851	35473	60718	320	118	219	99	29	228	98	85	61	88	39	29	30	29	17	17	22	21	15	13
EC-20C	1262323440	97414	790	98204	129564	27369	68310	290	114	355	148	37	248	69	54	72	76	49	17	29	56	18	26	30	24	7	16
EC-01B	1262323380	96826	1320	98146	139822	73152	21824	259	387	96	170	81	67	105	134	86	49	113	32	45	73	25	23	30	23	23	29
EC-02I	1262323320	97279	692	97971	127821	39701	56726	149	73	140	77	15	73	34	35	40	45	32	23	11	31	10	10	17	7	6	24
EC-03B	1262323260	95892	558	96450	118942	32290	62363	140	122	203	107	33	156	52	68	57	79	27	29	18	67	15	22	13	8	13	10
EC-01M	1262323200	95255	768	96023	121247	35162	59360	65	51	103	107	17	109	30	23	29	40	49	26	4	23	6	13	9	10	7	12
EC-02F	1262323140	94435	618	95053	120860	33057	60318	235	101	184	54	19	111	38	43	45	49	49	18	13	39	6	14	14	10	9	9
EC-02G	1262323080	92515	645	93160	120900	30110	61337	136	91	202	77	26	121	49	47	41	57	46	26	11	60	14	15	19	9	11	10
EC-13D	1262323020	90796	1066	91862	137779	54374	33979	579	430	188	130	214	175	131	173	64	69	43	33	35	42	19	15	44	29	13	17
EC-01O	1262322960	90752	745	91497	114601	37233	52627	69	86	125	157	19	108	37	42	35	38	67	21	12	23	11	8	11	7	12	4
EC-05A	1262322900	87949	778	88727	119453	28171	58016	360	158	267	96	41	250	75	51	85	107	43	29	27	62	20	27	23	20	10	11
EC-01H	1262322840	86486	893	87379	112363	39497	46002	135	120	106	178	15	96	47	63	39	28	43	17	15	36	14	10	7	7	4	7
EC-03C	1262322780	86366	666	87032	108781	27818	57292	155	107	209	89	39	130	71	62	65	85	44	27	21	51	18	13	22	27	13	8
EC-21B	1262322720	86356	575	86931	108122	29891	55225	133	126	171	100	36	193	56	67	58	76	31	29	28	39	9	17	28	17	13	13
EC-02E	1262322660	85933	719	86652	114566	30169	54697	160	101	168	89	22	131	38	43	58	74	30	10	16	65	11	16	7	10	8	10
