pd_id	result_ut	valid	rejected	polled	electors	UNP	UPFA	USP	JSP	ULPP	NLF	ULF	RPP	SLNF	DUA	SEP	SLPF	UNAF
EC-06A	1104555900	192961	2841	195802	246062	156343	33453	1631	689	182	115	125	79	67	73	90	74	40
EC-01J	1104555840	113805	1209	115014	148435	47025	65829	192	236	207	59	54	69	42	37	43	8	4
EC-01N	1104555780	109602	1110	110712	140094	42042	66660	163	238	192	67	59	57	40	33	37	10	4
EC-01L	1104555720	108882	1035	109917	141974	43477	64433	242	206	184	68	55	62	64	44	25	19	3
EC-04B	1104555660	104777	1432	106209	138171	59899	43540	390	322	147	91	84	72	77	62	33	39	21
EC-09D	1104555600	104513	1012	105525	133196	40006	63197	330	364	117	133	50	91	86	65	25	36	13
EC-13A	1104555540	103179	949	104128	136738	44218	57624	275	418	131	86	58	127	89	55	37	45	16
EC-01B	1104555480	100424	1616	102040	144916	78908	20395	448	189	117	71	93	28	37	69	37	20	12
EC-02H	1104555420	97241	944	98185	124714	34376	62018	197	191	168	70	46	55	42	31	29	9	9
EC-02J	1104555360	95380	901	96281	122039	37772	56759	211	198	155	55	42	60	50	35	29	10	4
EC-20C	1104555300	94419	1055	95474	119506	39117	54066	248	352	101	137	52	127	84	54	38	26	17
EC-18C	1104555240	93183	936	94119	121949	44951	47188	231	308	112	106	51	108	47	32	19	20	10
EC-21H	1104555180	92479	961	93440	115991	38163	52947	324	398	107	142	57	97	110	66	24	34	10
EC-01O	1104555120	92089	975	93064	115759	43207	48047	232	192	143	52	38	57	33	34	37	13	4
EC-02C	1104555060	90528	977	91505	114595	40473	49095	258	195	177	79	52	84	43	31	18	13	10
EC-01M	1104555000	90425	910	91335	119137	36093	53681	103	138	173	52	41	46	26	24	35	5	8
EC-02I	1104555000	90362	973	91335	117040	42606	46950	196	167	175	54	56	51	45	19	29	11	3
EC-02F	1104554880	88220	947	89167	111211	37801	49509	259	179	162	74	59	42	38	36	29	22	10
EC-02G	1104554820	86568	1090	87658	112898	33171	52393	252	214	208	83	40	63	48	37	35	16	8
EC-03B	1104554760	86291	870	87161	107308	34749	50481	341	279	105	63	72	52	59	40	21	23	6
EC-13D	1104554700	84359	863	85222	129798	55467	27704	419	314	76	55	73	93	29	68	18	27	16
